text,target
I dislike rainy days ,0
thanks Hannah. Ugh i feel sick.... ,0
I am sad to see Max and Ashley go. ,0
"Holy crap, bags and purses hit 121,000 on Etsy! That's a lot of competition  I wonder if I should be worried...",0
Just got home from work..I'm a little tired ,0
Just got home from a big workout....and then I smashed  .. that kinda defeats to purpose of workin out haha,0
I can't even make a sale on Etsy   I need more exposure.  Help! www.patteroflittlefeet.etsy.com,0
GooglePages shutting down ! Cool disappointed ,0
 Oh noes. That is not very cool. ,0
Starting to get lonely  hope  an Kevin are enjoying charleston though! I'm still jealous!,0
so annoyed !! just got nail polish on my down comforter! trying to get the stain out..with no luck ,0
"Sean has come down with the swine flu  not going to make it out to  tonight, everyone have fun for me! Next week fo sho!",0
Idk why coaches hate me so much. ,0
Hi Twitter wOrld! I'm Sad  reProveD chemiiCal :$ I will miSs but I Love u so much eveRyone! Bless u guys PeACe.Love.JonaSsÃ¢ÂÂ¥ Take Care;),0
Ugh...going to school in the summer sucks ,0
this night is no good ,0
 buck i didnt get in the main room ,0
  don't do that.,0
" Well if you mean banging me, it ain't gonna happen. ",0
so stressed!! ,0
 That's not good. ,0
"God! I slipped in the bath tub while takin a shower. Now, I got a big bruise on my knee. I'm putting ice on it right now ",0
 it's 10:11am here and I'm stuck at work...boohoo ,0
I can't believe that they voted off Max on &quot;So you think you can dance?&quot; ,0
 i drank all mine today ,0
since I haven't seen him for more than a few minutes since Tuesday and probably won't before he leaves... ,0
" me too. i had to get up at five thirty, and i'm running on like four hours of sleep. ",0
 oh gosh  is full of bullshit! ,0
  ooo it's no use no one reads my reviews and comments,0
 We are so sorry to hear that Beka.  Wishing you luck.,0
&quot;I punch my waist-line into your face&quot;  I'm craving a liquid cocaine. ,0
"i'm sleepy, grumpy and not in a mood to work! errgghhh... i hate this feeling la. i miss my bed.. ",0
how long till the dev team release the JB ?? ,0
 house season 3+antibiotics+sampling vicodin for the first time=owww ,0
Is just gettin used to twitter. Miss my facebook ,0
  I went to the japanese restaurant and they were closed during my lunch break  ,0
cant decide if i want to keep this phone or get a blackberry. both are going to have their cons ,0
"... who needs a pancreas, anyways? ",0
homework ,0
Tweetdeck is losing out to Tweetie... I'm not impressed yet... ,0
really sad ,0
 awww what's wrong? ,0
Death to my toe by a shampoo bottle...owwwwiiieeeeeee ,0
Mom left me alone all day AGAIN so after she got home &amp; skritched my head awhile I bit her ear HARD! Bad move? Cuz now she's ignoring me. ,0
lost a follower ,0
 I know that. But I don't want to waaaaaaaaaaaait ,0
"HD TV in tha house!! No HD capable cables until tomorrow, though ",0
 I hate those  and Kane tranes not around to play with it either,0
 no i don't think he does ,0
"oh god , please help me ",0
"Feeling the urge to listen LVATT at 10:13. (: I can't though, because I suspect that it'll irritate my parents &amp; even my neighbours. ",0
i miss my lasalle friends ,0
I really want to get the album. ,0
"fucking hell, to this day Cirque Du Soleil -STILL- makes me cry ",0
enjoyed my 1 day off but its back to work tomorrow ,0
Missed Larry King because I don't get CNN. ,0
Have to start studying for finals!! week and the next! AHHHHHHH!! ,0
 I would be able to trust my partner again ,0
My fishie died. ,0
I have to order something that won't have me looking like a hog.... This will be hard ,0
Hoping that I actually have a good convo with him. If he calls. ,0
not holly and janice!! ,0
 of course I won't be home ,0
 SLAP!!! Finally I'm at home &amp; ur recording!!! Shame I didn't notice this earlier so Skype would have been an option... ,0
  wish you were home to get bootleg pinkberry with me,0
So You Think You Can Dance is tonight and I have no idea who would go home ,0
 U R TURNING 17 OMFG!!! I thought u were my ge or 1yr older now im upset ,0
  I hope you are okay!,0
  Eeep  Are you alright? Do you have pain meds?,0
" thanks, i hope i feel better too! lol. i need Jon to twitter, I miss his messages when hes not on  lol",0
 haha...i memang no fate in meeting ppl in 1U one... ,0
MMA training leaves you tired and with a busted lip.  But it's fun.,0
"  Yes. Unfortunately, getting the electricity to the cooktop is about 30% efficient. ",0
Finally home from a long day at work. Only a few hours til I start another long day at work... that I volunteered for... on Iphone Friday ,0
 can you ask Kevin Spacey to follow  for his bet but he won't listen to me.  P.S. you're awesome!,0
 Me too ash... me too  ELL was on last night though! SQUEEE!!!,0
" not fair, I have to pay $10 for my iPod Touch to run 3.0 ",0
  omg I bet the price will be up to like $70+ idk  I hope not or I might bid on the last day,0
" omg, i wanted to go  ugh. tell me how it is.",0
" I miss u too!!  They r doing ok I guess.  We r tie right now.  I know huh, when u don't do it we lose.  ",0
KINGS ISLAND TOMORROW!!!!! and i still can't get twitter to like my phone ,0
misisng paki land  sometimes i feel like going back... i wnated to move back but now m nt soo sure,0
If anybody see a princess called JESS say it that i miss her lovee n i losin' my mind without she  i need she i cant breathe Jess miss ya,0
i fucked up .. ugh  i hope he doesnt hate me T_T,0
"I miss his lips,I miss his kiss ...damn I miss **** ,  y is he so far away ",0
ive replied to david like 10 times..nothing ,0
 powww! does this mean lunch soon?  have a safe flight boo!,0
  stupid phone. thats why im on the computer,0
 crap i slept through it!  oh well it'll be on the internet soon enough. i bet it was great though!,0
What's wrong with ozzy? Hey dude are you okay? ,0
" but doesn't Tweetie cost real, actual money? ",0
 eres una espia  I love u girl and I miss u too ,0
 I usually have to move rooms &amp; nothing ever gets upgraded... ,0
i missed larry king  and i heard  admitted having girlfriends! watching it as soon as in comes up on youtube...,0
 YAY!!!!ur cumin on monday butonly 4 1 day  but we're gonna have alot of fun!,0
" Ughhh.... I'm so sleepy, are you? It's not late yet, but ahh, I dunno ",0
i want a new twitter name ,0
Repo is over... ,0
 .....I wish I had Tivo. ,0
 true  i hate people sometimes...,0
" What a moran. Also, this is the kitten I can't have. http://yfrog.com/0zgrdj ",0
my gum hurts  I don't go back next week to remve two more permanent teeth,0
I want some chocolate and alex wont go get me any ,0
awww the green overlay didn't work with my avatar ,0
 i was just kicked out of the waiting room for no reason ,0
I hate having no new tv to watch ,0
   why????,0
why is it stormy  I wanted to hang outside for a few more hours,0
I'm so NeW 2 DiiS twiitter crap ii DoN't even KnO how 2 send priivate messages..Somebody help {ME} plzzz ,0
 ,0
4 hours of sleep and going to work. ,0
"oh, didn't know they had the option to add it  I thought you were trying to do something else...",0
"this epidsode of 16 &amp; pregnant isnt half as good as last weeks  idk why, prob partly bcus ryan was sooo cute.",0
my mom's not very friendly right now and I'm not sure I like it ,0
I hope i don't cry tomorrow ! ,0
" I like e idea of social music, but can't part w my BB. I write fast on an iPod, but faster on a BB  I WILL buy Shazam tho!",0
 Ah! Yeah. This is a major failing with the blackberry. ,0
I am soooo bored. And stuck at home. Alone  yaaaaay....,0
 srry i cnt read it cuz itz not in english ,0
 i did not get your energy boost ,0
BWAHAHAHA   these classes are all conflicting in schedules and are making life realllly difficult... sigh....,0
 nothing much ma'am! Wat u been up to? U ain't been tryna hang ,0
 check ur sent DMs...it auto dms EVERYONE...i had to revoke permissions on it  ,0
 awwww its okay sweetie. be strong mama ,0
"Yeah, no Iowa this weekend  the team is focusing efforts toward Toronto.",0
  your missing someone....hmmm..oh yeah...ME lol..nah have fun my love and be safe sweetie!!! lol,0
So confused about everything  I know God is in control tho,0
"Just got home a little bit ago, took a very refreshing shower...have an urge to run, but it's too dang hot outside &amp; the gym is far away ",0
 I'm...not there ,0
looking for a job and freakin out about my financial status... ,0
New set of matching 00g plugs. All holes filled ~not a euphemism (I wish)  ~ Waffle delish. Back to needle and thread!,0
I miss my boy ,0
In the queue to telstra trying to activate the hiptop i bought *3* days ago! Such bollocks. ,0
 yeah i get the &quot;secret&quot; emails all the time. but i will be in buffalo next thursday ,0
" if you're bored, like i am..why don't you hang out with a friend? i'm just stuck here cause my friend doesn't want to hang ",0
Bored out of my mind ,0
 i only watched part of it. my dad decided he wanted control of the tv ,0
 I just don't get how someone can be that inconsiderate. His &quot;recording studio&quot; is adjacent to our bedroom. ,0
"i miss promo so much  i miss jefferson, i miss my 7th graders ):",0
One thing that makes me sad about concert time... No tweets  my phone is quiet LOL,0
no it told him on his phone for his friends to do that... but its not working  {Erica+Josh=&lt;3},0
Third try to get my permit tomorrow. I hope I don't fail. I miss my boy ,0
 hahaha!!! i don't know him yet. the mike i do know isn't available. ,0
 I added your roommate and friend... cuz i'm creepster like that. btw.  I miss my bizarro twin . ,0
 US needs 2 be diplomatic since relations w/ Iran always challenging 4 them. Only UN and Amnesty Int'l might care  ,0
 I saw this one CSI I think like Miami with this really hot bear guy. Then I never saw it again ,0
watchin the news... just heard RPattz got hit by a taxi in NY... Hope he's okay ,0
Is at work ,0
Great another storm ,0
 nah man not tonight  i got some people over right now,0
upset i dropped my fone in a lake a few days ago  hope i get it back soon,0
 excellent! Matt told me yesterday I was too big for the climbing frame at the park...  Had to sit that one out! Enjoy!,0
I have sore muscles... ,0
"A little worried about my pastor (papa), but I'm sure he's going to be just fine... God has him!!... Still a bit nervous though ",0
 i can't think of any that aren't taken ,0
Is starving...research didn't end till 630 so no time for dinner ,0
"Great. Got sick in school, bdy ache + coughing + blood/vomiting = worst day ever. oh.. + lightheadedness &amp; shallow breathing  schl is EVIL",0
 Lucky you! IÃÂ´ve been studiyn for I think 2 hours! I hate historyyyy! Id rather being boring ,0
I just did all the yardwork ,0
i was texing and talking 2 a girl that is NOT MY FRIEND  IM MAD,0
Mad at myself 4 missn most of  CiCi's class and wasnt my bubbli mood as usual  next week I'm back on my groove,0
 i miss you too!!  &lt;3 and i missed you even more when you left...  &lt;3,0
 I used to climb outside of Golden all the time (No Table Mtn)... I miss CO ,0
-shower then bed; still not feelinq well!!! ii've been miserable ,0
"back from , et vernissage de Emporium state of mind, a vu  mais pas  ",0
Just wish I could be with you... ,0
 why not? ,0
And I was rolling along so good w/TD.  I don't think I  have ever been in time out ,0
 it's my igoogle! lol it's a twitter gadget and it allows me to 'tweet' hehehe yeah fb gadgets suck!  dont work on my pc! ,0
Aw that girl that did the robot dance got kicked off  I still love that they're using 'Already Gone' for the kick off I. Love. That. Song.,0
 what happened? ,0
 gurl I went to get my hair donri don't like it look like dierrah green yelow orage n brown the worse case of dierreah ,0
 Connie..I miss you too i'll b back some time tomorrow.  We gotta hang out this weekend b4 u leave me ,0
 ya that would totally hurt.  I hate finding out about who friends really are that way.,0
 i wish i could see wilco    but is it weird for successful musicians to go to shows of other musicians?,0
 I wish I could have gone with you. ,0
i dont get how to do the histo notes! ,0
 no I'm afraid I haven't but then I don't get out much ,0
 they aren't  should i call?,0
Last bonfire then goodbye michigan ,0
 ,0
I don't understand how you can serve the Lord &amp; think that public drinking is ok. I think that it makes Jesus sad! ,0
  i'm in philly now! and nope  the soonest i'm going to chicago is late august.,0
Having mood swings.  - http://tweet.sg,0
I have made an assumption with my bros.. Optimus Prime will die in Transformers 2 ,0
 I opened my pc and it told me to back up my files. So I took it to the shop and tech said I have 20% chance to get my files. ,0
my arm still hurts.  hates after effects from shots.,0
i just found notes my best friend wrote up for me to help me study for my exams.. we spent that whole day/night together in the library.. ,0
Playing with TinyGrab... but I won't pay for it.  http://tinygrab.com/qT,0
 haha....cant see your beautiful eyes! ,0
  I'm sorry you have all these boo boos ,0
Can't upload my new photo's ,0
I missed . ,0
"I think I may be falling apart, or perhaps I just held my breath too long, but I actually fainted at the doctor's office today. ",0
"  I would, and i planned on it.. But my truck is being held hostage at the peppermill.   Maybe ill get it back b4 it ends",0
Thinking about her getting operated on... ,0
is very very tired...  ,0
I feel so damn sick now ,0
CSN-CA having some major problems tonight -- mainly lack of sound on A's game ,0
" onto the forth episode in a row man...SO bored! Need a friggin job, it doesn't feel right being in on a Thursday ",0
Has to work tomorrow....   ,0
  bring some to the game tonight???,0
 Haha I haven't watched it yet. My mom is watching Royal Pains and they just made fun of you... well JB but yea... ,0
I am officially done with English 120. Yay! I survived. Onto ENG 201. ,0
 i need your Dior glasses back! lol i miss them!  i dont feel whole without them this summer!  ,0
"There's a party tonight, but I have am exam tomorrow  fml",0
tomorow is the last day of school... ima miiss mah friends ,0
Is wondering if I will ever finish &quot;The Hour I First Believed&quot; ,0
"missing the hubby,  he's working overnight, FDNY.",0
working 8-3 tw. really dont want to get up earlyyyy ,0
  stressed smh my twin  knows y ,0
Breaks my heart to see stray kittens sitting by someone's house. ,0
" First - You have awesome shorts, Second - Im going since Ive been in the &quot;lounge&quot; since 9 ",0
miss you so much my bff  ,0
chiiling at the house and is SUPER HUNGRY!!!!!!!!!!! ,0
they don't have the book in stock ,0
 its a shame that prisonbreak has now completly ended  no more   but i think they exhausted it as much as they could,0
. I hate you but I'm still gonna miss you ,0
" It's really annoying. Opera has been around just as long as IE, and even longer than Firefox. ",0
 i wish you had your phone &lt;3 i can send you emails from my phone if you give me your address,0
What do you do when the one you love leaves? Im gonna miss corey  &lt;3,0
I forgot my phone at home AGAIN. The second time since January. ,0
" ok, I need to ask you this. When are we going to get another date night? ",0
 awww sorry homie no party tonite ,0
  what did you do??,0
Having a good talk with janelle. Wish i could've seen brett.. ,0
 yea i go 2 la fitness in buckhead..i tend to slack off alot..help me  but whnever u wanna go lemme know!,0
"i HOPE this whole shit doesnt lead to a civil war   i wish iranians, religious or non religious, WILL GET ALONG ! :'(",0
if someone doesn't get home i'm going to die!!!! ,0
It sure is a shame..Took me 25 minutes to cook something I could have already eaten 22 minutes ago! My poor microwave. ,0
" I woulda been all over that shit, but computer is down and out at the moment and I can't download shit to my iPhone... ",0
Today isn't going to be a good day for me ,0
no more Monroe ,0
 no? Just use a fake account until you want to buy ,0
"aaja ktm ko temp 34C re.. http://tinyurl.com/klm5eo n when i'll be back home, there'll be no light too.. ",0
I miss my classmates. ,0
 me too ,0
why do i still have a test? ,0
Is driving into the city. ,0
" Yes, yes, everyone loves  bestest of all. ",0
 i'll pretend i didn't just read that &quot;blackberries are Lame&quot; ,0
little face has allergies ,0
 I'm trying to hang in the main room but i keep getting disconnected. ,0
 in paper form. Get ready for E-ink LOL. Kindle sucks &amp; I hear that you guys may lose Hedo ,0
 ... Miss ur ugly face ,0
 I want a rain poncho... I didn't know u sold them ... I would of so got one tonight ,0
 I'm running a fever  If you gave me a shoutout I swear I'd get better! (HINTHINT!) HAHAHA.,0
"I don't like hearing the birds, its an indicator that I should be asleep, but I can't ",0
Have people photos of our place today. Gues it's really being sold ,0
 WE need a new schedule ,0
 wow who's calling off  lol ur keepin busy!,0
"Ugh, I hate when mom &amp; dad argue... ",0
 we can't play mad libs in the stupid lounge ,0
 the first season. disk two. i had them on my computer and then never saw them in order   it is amazing.,0
Just worked out on my own...trainer is on vacay... ,0
 awwwww i missed the dream job question by 2 hours.  but ill still tell you. my dream job is to be a roadie and travel!!! ,0
"Yeah, I got new meds, and they make me a little sleepy, slow, and head-achey. ",0
No sexify or stay wit me baby tonight ,0
UGH ! going to fail math &amp; latin !  whateverrr ... summers close &lt;3 !,0
In the car... Someone give me ideas... I'm lost ,0
  !!!  makes me sad cause its REALLY fun!!  ,0
" Mmm, British boys are the best. I want to go back there! ",0
Jamie... please come hold me... ,0
poor study participant listed his usual frequency of sexual activity as 1/year and had a heart attack 5 min after. That's sad ,0
  i miss you  we need to go to a movie soon!,0
 He had previously rec'd email saying competition was accessible to all. But Palmy not it seems ,0
"- bed ; I gotta get up early  , only 5 more days of this bullshit  . SUMMER!!! &lt;3",0
my summer reading book sucks so far and i'm only on page 3! it's called &quot;A Thousand Splendid Suns&quot; &amp; there's no spark notes on it...ughhh ,0
" we have those too, I love them! Though I haven't seen any this past summer. ",0
  your so shallow  its about the dancing now about looks.. geez guys im really disappointed,0
For once...i tried to do something...I was supposed to...it ended with me almost forgetting to watch JB &amp; to get nothinm done! ,0
Killer headache  megggyy i &lt;3 you,0
does anyone know how to embed a .swf URL into iWork's Keynote? 4 hours and no luck ,0
